POB11,POB14,POB21,POB23,DISC1,DISC7,DISC8,DISC9,DISC10,DISC11,DISC12,DISC13
6.0,7.0,18.0,-6.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,9.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3.0,11.0,-6.0,-6.0,0.0,0.0,-6.0,0.0,-6.0,0.0,0.0
10.0,8.0,30.0,6.0,4.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
8.0,6.0,13.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,-6.0,13.0,3.0,-6.0,-6.0,0.0,-6.0,0.0,-6.0,0.0,0.0
4.0,4.0,17.0,5.0,5.0,-6.0,4.0,-6.0,-6.0,-6.0,-6.0,-6.0
7.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,34.0,11.0,-6.0,-6.0,0.0,-6.0,-6.0,-6.0,-6.0,-6.0
7.0,8.0,24.0,4.0,4.0,-6.0,-6.0,0.0,-6.0,0.0,0.0,0.0
6.0,5.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
6.0,0.0,23.0,14.0,-6.0,0.0,0.0,-6.0,0.0,-6.0,0.0,0.0
4.0,5.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,25.0,-6.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
-6.0,-6.0,8.0,3.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,6.0,19.0,4.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,0.0
16.0,13.0,41.0,9.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,-6.0
4.0,6.0,17.0,5.0,-6.0,-6.0,0.0,-6.0,0.0,0.0,0.0,-6.0
5.0,6.0,15.0,3.0,-6.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0
5.0,5.0,15.0,6.0,-6.0,-6.0,0.0,0.0,0.0,-6.0,-6.0,-6.0
5.0,12.0,34.0,9.0,-6.0,0.0,-6.0,-6.0,0.0,0.0,0.0,0.0
12.0,16.0,45.0,11.0,3.0,-6.0,0.0,0.0,0.0,0.0,-6.0,-6.0
5.0,-6.0,12.0,3.0,-6.0,-6.0,0.0,0.0,0.0,-6.0,0.0,-6.0
9.0,17.0,31.0,7.0,6.0,5.0,-6.0,-6.0,0.0,-6.0,-6.0,-6.0
6.0,6.0,20.0,6.0,6.0,-6.0,0.0,-6.0,-6.0,-6.0,0.0,0.0
4.0,0.0,6.0,3.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.0,3.0,11.0,-6.0,4.0,-6.0,-6.0,0.0,-6.0,0.0,0.0,-6.0
5.0,13.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
16.0,20.0,50.0,12.0,12.0,6.0,4.0,-6.0,0.0,3.0,3.0,-6.0
-6.0,3.0,8.0,3.0,3.0,3.0,-6.0,-6.0,-6.0,-6.0,3.0,0.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
9.0,4.0,18.0,3.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
11.0,7.0,31.0,8.0,5.0,3.0,-6.0,-6.0,-6.0,-6.0,-6.0,0.0
-6.0,5.0,7.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,9.0,21.0,3.0,-6.0,-6.0,0.0,0.0,0.0,-6.0,0.0,0.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
6.0,4.0,13.0,3.0,-6.0,0.0,-6.0,-6.0,0.0,0.0,0.0,0.0
13.0,12.0,26.0,3.0,5.0,-6.0,-6.0,-6.0,0.0,0.0,-6.0,0.0
7.0,6.0,11.0,0.0,3.0,-6.0,0.0,-6.0,0.0,0.0,-6.0,-6.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
4.0,8.0,16.0,5.0,5.0,-6.0,5.0,0.0,-6.0,0.0,0.0,0.0
5.0,10.0,17.0,-6.0,4.0,3.0,-6.0,0.0,0.0,0.0,0.0,0.0
-6.0,10.0,14.0,-6.0,-6.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0
5.0,5.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
8.0,6.0,18.0,3.0,-6.0,-6.0,0.0,0.0,0.0,-6.0,0.0,0.0
